category,txns,fraud_txns,total_amt,fraud_rate
gas_transport,188029,772,11935567.85,0.004105749645001569
grocery_pos,176191,2228,20550943.97,0.01264536781106867
home,175460,265,10209698.0,0.0015103157414795396
shopping_pos,166463,1056,13135052.22,0.006343752065023459
kids_pets,161727,304,9303806.75,0.0018797108707884274
shopping_net,139322,2219,12112929.67,0.015927132828986088
entertainment,134118,292,8602726.58,0.0021771872530160006
food_dining,130729,205,6666407.52,0.0015681294892487512
personal_care,130085,290,6250310.53,0.0022293116039512626
health_fitness,122553,185,6628642.21,0.0015095509697845013
misc_pos,114229,322,7159471.47,0.0028188988785684895
misc_net,90654,1182,7268761.94,0.013038586273082268
grocery_net,64878,175,3483204.05,0.0026973704491507137
travel,57956,156,6477809.25,0.0026916971495617365
