state,txns,fraud_txns,total_amt,fraud_rate
TX,135269,592,9557414.77,0.004376464674093842
NY,119419,730,8536240.68,0.006112930103249902
PA,114173,572,8205628.84,0.005009941054364867
CA,80495,402,5906869.77,0.004994099012361016
OH,66627,360,4823536.63,0.00540321491287316
MI,65825,299,4682701.92,0.004542347132548424
IL,62212,324,4321867.19,0.005207998456889346
FL,60775,334,4448375.13,0.005495680789798437
AL,58521,278,3810639.91,0.0047504314690453
MO,54904,262,3737747.04,0.004771965612705814
MN,45433,280,3159913.45,0.006162921224660489
AR,44611,195,3370419.27,0.004371119230683016
NC,43134,195,3330058.66,0.0045207956600361665
VA,41756,273,2936867.8,0.006537982565379826
WI,41738,228,2897850.34,0.005462647946715224
SC,41731,236,2646483.2,0.0056552682657976085
KY,40981,222,2743359.63,0.005417144530392133
IN,39539,217,2742840.09,0.005488252105516072
IA,38804,211,2540679.9,0.005437583754252139
OK,38050,200,2538701.22,0.005256241787122208
MD,37345,203,2381427.49,0.005435801312089972
GA,37340,204,2601360.56,0.005463310123192287
WV,36529,146,2565363.69,0.003996824440855211
NJ,35131,161,2347501.63,0.0045828470581537675
NE,34425,216,2269986.07,0.006274509803921568
KS,32939,193,2305209.99,0.0058593157047876375
MS,30021,169,2026152.86,0.0056293927584024515
LA,29953,113,2231935.58,0.003772577037358528
WY,27776,119,2099345.24,0.004284274193548387
WA,27040,126,1982391.38,0.004659763313609467
OR,26408,197,1839620.59,0.007459860648288397
TN,24913,159,1827573.38,0.006382210091117087
ME,23433,134,1482788.14,0.005718431272137584
NM,23427,121,1434807.76,0.005164980577965595
ND,21183,84,1387676.63,0.003965443988103668
CO,19766,115,1537244.77,0.005818071435798847
SD,17574,92,1233010.43,0.005235006259246614
MA,17562,87,1088037.18,0.004953877690468056
VT,16812,72,1354513.02,0.004282655246252677
MT,16806,69,1206232.14,0.004105676544091396
AZ,15362,64,1156227.12,0.004166124202577789
UT,15357,61,975142.86,0.003972129973302077
NH,11727,79,889689.95,0.00673659077342884
CT,10979,56,703500.88,0.005100646689133801
NV,8058,47,448077.62,0.005832712831968231
ID,8035,33,602856.53,0.004107031736154325
DC,5130,31,385896.78,0.0060428849902534115
HI,3649,16,215843.28,0.004384762948753083
AK,2963,50,210694.99,0.016874789065136685
RI,745,15,52397.59,0.020134228187919462
DE,9,9,4630.44,1.0
