trans_date,txns,fraud_txns,total_amt,fraud_rate
2019-01-01,2414,0,156487.09,0.0
2019-01-02,1118,7,70723.58,0.006261180679785331
2019-01-03,1236,12,86516.49,0.009708737864077669
2019-01-04,1474,13,112436.39,0.008819538670284939
2019-01-05,1409,13,97496.13,0.009226401703335699
2019-01-06,2029,2,135816.21,0.0009857072449482504
2019-01-07,2425,4,178233.18,0.0016494845360824743
2019-01-08,2314,26,168061.93,0.011235955056179775
2019-01-09,1158,23,88906.06,0.019861830742659757
2019-01-10,1249,6,87716.01,0.004803843074459567
2019-01-11,1439,16,108301.6,0.011118832522585128
2019-01-12,1456,21,103636.58,0.014423076923076924
2019-01-13,1980,29,150087.55,0.014646464646464647
2019-01-14,2443,37,173760.76,0.01514531313958248
2019-01-15,2360,36,181937.15,0.015254237288135594
2019-01-16,1186,20,92799.7,0.016863406408094434
2019-01-17,1233,16,92555.41,0.012976480129764802
2019-01-18,1360,20,91947.38,0.014705882352941176
2019-01-19,1359,21,101678.89,0.01545253863134658
2019-01-20,2011,25,144205.75,0.012431626056688214
2019-01-21,2384,17,171987.5,0.007130872483221477
2019-01-22,2302,21,165953.28,0.009122502172024326
2019-01-23,1137,2,76814.22,0.001759014951627089
2019-01-24,1288,4,81524.03,0.003105590062111801
2019-01-25,1281,6,85657.2,0.00468384074941452
2019-01-26,1391,0,98749.47,0.0
2019-01-27,2029,19,145681.71,0.009364218827008379
2019-01-28,2410,15,172870.08,0.006224066390041493
2019-01-29,2314,23,170014.07,0.009939498703543647
2019-01-30,1109,20,77006.25,0.018034265103697024
2019-01-31,1227,32,90188.38,0.026079869600651995
2019-02-01,1477,20,107303.09,0.013540961408259987
2019-02-02,1483,22,103853.38,0.014834794335805798
2019-02-03,2020,19,146800.85,0.009405940594059406
2019-02-04,2398,13,180640.4,0.005421184320266889
2019-02-05,2349,0,154987.07,0.0
2019-02-06,1122,14,88121.14,0.012477718360071301
2019-02-07,1287,35,108754.44,0.027195027195027196
2019-02-08,1435,34,109503.13,0.023693379790940768
2019-02-09,1433,7,106254.04,0.004884856943475227
2019-02-10,2019,5,136119.36,0.0024764735017335313
2019-02-11,2386,12,166315.07,0.005029337803855826
2019-02-12,2361,44,181275.21,0.018636171113934775
2019-02-13,1181,26,93316.26,0.02201524132091448
2019-02-14,1221,10,87856.35,0.00819000819000819
2019-02-15,1375,14,99114.58,0.010181818181818183
2019-02-16,1444,2,97997.66,0.0013850415512465374
2019-02-17,2022,13,141365.67,0.006429277942631058
2019-02-18,2372,22,166151.64,0.00927487352445194
2019-02-19,2293,24,163815.64,0.010466637592673354
2019-02-20,1135,5,73045.89,0.004405286343612335
2019-02-21,1256,11,91687.73,0.00875796178343949
2019-02-22,1396,18,91655.98,0.012893982808022923
2019-02-23,1435,10,98055.88,0.006968641114982578
2019-02-24,2059,7,150718.53,0.003399708596406022
2019-02-25,2342,50,179114.27,0.02134927412467976
2019-02-26,2318,32,174360.57,0.013805004314063849
2019-02-27,1106,4,81551.85,0.003616636528028933
2019-02-28,3141,44,224926.55,0.014008277618592805
2019-03-01,1841,6,126447.23,0.0032590983161325366
2019-03-02,2628,9,182426.36,0.003424657534246575
2019-03-03,3136,9,214490.78,0.0028698979591836736
2019-03-04,3093,13,221443.55,0.004203039120594891
2019-03-05,1560,19,123154.85,0.01217948717948718
2019-03-06,1678,14,112385.48,0.00834326579261025
2019-03-07,1876,24,139070.77,0.01279317697228145
2019-03-08,1850,28,135104.21,0.015135135135135135
2019-03-09,2696,8,175883.74,0.002967359050445104
2019-03-10,3258,17,237672.43,0.0052179251074278695
2019-03-11,3045,30,231650.16,0.009852216748768473
2019-03-12,1429,14,104592.5,0.00979706088173548
2019-03-13,1641,10,110703.4,0.006093845216331505
2019-03-14,1868,28,137732.15,0.014989293361884369
2019-03-15,1891,27,143384.11,0.014278159703860392
2019-03-16,2649,26,199057.15,0.009815024537561345
2019-03-17,3117,7,209019.16,0.002245749117741418
2019-03-18,3065,0,193284.35,0.0
2019-03-19,1476,17,98314.48,0.011517615176151762
2019-03-20,1715,27,129872.23,0.01574344023323615
2019-03-21,1829,12,127082.36,0.0065609622744669215
2019-03-22,1884,30,152387.17,0.01592356687898089
2019-03-23,2755,27,197709.72,0.009800362976406534
2019-03-24,3164,11,210923.13,0.00347661188369153
2019-03-25,3039,27,232756.95,0.008884501480750246
2019-03-26,1497,10,108902.95,0.006680026720106881
2019-03-27,1674,7,116145.46,0.004181600955794504
2019-03-28,1778,8,131729.85,0.0044994375703037125
2019-03-29,1932,0,120771.9,0.0
2019-03-30,2693,14,186549.61,0.0051986632008912
2019-03-31,3182,15,217238.21,0.004714016341923318
2019-04-01,3100,6,201691.58,0.001935483870967742
2019-04-02,1429,5,95332.3,0.0034989503149055285
2019-04-03,1649,18,119240.45,0.010915706488781079
2019-04-04,1937,13,143304.82,0.006711409395973154
2019-04-05,1848,5,120898.17,0.0027056277056277055
2019-04-06,2719,7,185896.8,0.0025744759102611253
2019-04-07,3246,13,239164.15,0.004004929143561306
2019-04-08,3095,20,210391.21,0.006462035541195477
2019-04-09,1465,8,94894.05,0.005460750853242321
2019-04-10,1685,9,114241.29,0.005341246290801187
2019-04-11,1800,8,122745.66,0.0044444444444444444
2019-04-12,1932,13,136113.95,0.006728778467908903
2019-04-13,2694,13,191190.76,0.004825538233110616
2019-04-14,3078,9,196171.14,0.0029239766081871343
2019-04-15,3062,7,202464.36,0.0022860875244937948
2019-04-16,1496,19,108690.76,0.01270053475935829
2019-04-17,1680,20,123050.42,0.011904761904761904
2019-04-18,1772,10,136050.7,0.0056433408577878106
2019-04-19,1880,12,139194.52,0.006382978723404255
2019-04-20,2767,15,187275.69,0.005421033610408385
2019-04-21,3206,4,216255.63,0.0012476606363069245
2019-04-22,3133,6,209358.4,0.001915097350781998
2019-04-23,1449,7,102113.34,0.004830917874396135
2019-04-24,1729,8,129671.48,0.004626951995373048
2019-04-25,1813,11,126447.78,0.006067291781577496
2019-04-26,1894,27,150968.13,0.014255543822597676
2019-04-27,2675,20,200061.96,0.007476635514018692
2019-04-28,3147,20,211787.09,0.006355258976803305
2019-04-29,3163,28,228086.83,0.008852355358836548
2019-04-30,1535,15,118751.16,0.009771986970684038
2019-05-01,1660,15,118184.04,0.009036144578313253
2019-05-02,1752,14,129744.09,0.007990867579908675
2019-05-03,1849,17,130308.95,0.009194159004867496
2019-05-04,2636,14,181036.57,0.005311077389984826
2019-05-05,3166,5,210071.31,0.0015792798483891346
2019-05-06,3041,9,204325.19,0.00295955277869122
2019-05-07,1501,6,102367.15,0.003997335109926716
2019-05-08,1757,0,116485.29,0.0
2019-05-09,1808,0,130211.21,0.0
2019-05-10,1878,6,129936.91,0.003194888178913738
2019-05-11,2698,17,183042.43,0.006300963676797628
2019-05-12,3218,24,225684.23,0.0074580484773151025
2019-05-13,3022,13,214729.62,0.004301786896095301
2019-05-14,1470,10,112185.92,0.006802721088435374
2019-05-15,1663,11,125175.96,0.00661455201443175
2019-05-16,1857,15,133875.74,0.008077544426494346
2019-05-17,1901,22,132442.41,0.011572856391372961
2019-05-18,2598,17,179575.81,0.006543494996150885
2019-05-19,3071,22,212228.1,0.007163790296320417
2019-05-20,3177,44,247510.33,0.013849543594586088
2019-05-21,1492,11,105499.09,0.007372654155495978
2019-05-22,1648,8,114072.54,0.0048543689320388345
2019-05-23,1879,15,126218.25,0.007982969664715274
2019-05-24,2258,14,143473.88,0.006200177147918512
2019-05-25,3248,20,230273.34,0.006157635467980296
2019-05-26,3933,29,274885.24,0.00737350622934147
2019-05-27,3770,6,255876.32,0.0015915119363395225
2019-05-28,1826,3,127174.95,0.0016429353778751369
2019-05-29,2067,13,144776.24,0.006289308176100629
2019-05-30,2360,2,173585.17,0.000847457627118644
2019-05-31,2328,6,145947.04,0.002577319587628866
2019-06-01,3291,0,221685.76,0.0
2019-06-02,4041,3,269404.83,0.0007423904974016332
2019-06-03,3792,24,265499.94,0.006329113924050633
2019-06-04,1833,17,124283.77,0.009274413529732678
2019-06-05,2050,12,138634.74,0.005853658536585366
2019-06-06,2419,6,155712.34,0.0024803637866887144
2019-06-07,2303,2,154348.94,0.0008684324793747286
2019-06-08,3330,0,237014.58,0.0
2019-06-09,3900,8,259858.23,0.0020512820512820513
2019-06-10,3831,26,279909.73,0.006786739754633255
2019-06-11,1863,14,132473.32,0.007514761137949544
2019-06-12,2088,0,137645.91,0.0
2019-06-13,2326,5,155923.7,0.0021496130696474634
2019-06-14,2397,11,196445.06,0.00458906967042136
2019-06-15,3335,16,244200.79,0.0047976011994002995
2019-06-16,4060,26,284793.43,0.0064039408866995075
2019-06-17,3890,10,261364.08,0.002570694087403599
2019-06-18,1826,8,130388.82,0.004381161007667032
2019-06-19,1997,7,144248.59,0.0035052578868302454
2019-06-20,2312,5,158794.76,0.0021626297577854673
2019-06-21,2400,10,172977.14,0.004166666666666667
2019-06-22,3291,23,237216.34,0.006988757216651474
2019-06-23,3936,22,288664.76,0.005589430894308943
2019-06-24,3792,6,277637.11,0.0015822784810126582
2019-06-25,1813,1,122968.85,0.0005515719801434088
2019-06-26,2060,5,143375.42,0.0024271844660194173
2019-06-27,2265,9,154278.38,0.003973509933774834
2019-06-28,2268,20,168267.55,0.008818342151675485
2019-06-29,3357,43,248281.06,0.012809055704498064
2019-06-30,3998,15,270099.49,0.0037518759379689846
2019-07-01,3787,0,257189.04,0.0
2019-07-02,1804,11,127586.81,0.006097560975609756
2019-07-03,2073,13,141813.31,0.006271104679208876
2019-07-04,2344,5,157632.69,0.0021331058020477816
2019-07-05,2305,11,170447.61,0.004772234273318872
2019-07-06,3444,22,260879.07,0.006387921022067364
2019-07-07,3982,15,268946.15,0.0037669512807634357
2019-07-08,3852,11,265205.71,0.0028556593977154725
2019-07-09,1872,3,126521.71,0.0016025641025641025
2019-07-10,2069,16,151721.81,0.007733204446592557
2019-07-11,2340,19,180463.03,0.00811965811965812
2019-07-12,2362,15,170650.47,0.006350550381033023
2019-07-13,3301,7,228120.2,0.0021205695243865495
2019-07-14,3878,15,261373.24,0.0038679731820526046
2019-07-15,3742,11,272762.86,0.002939604489577766
2019-07-16,1886,2,128713.91,0.0010604453870625664
2019-07-17,2036,1,140595.38,0.0004911591355599214
2019-07-18,2288,0,163108.3,0.0
2019-07-19,2288,0,148720.17,0.0
2019-07-20,3334,0,207013.26,0.0
2019-07-21,4023,14,303633.57,0.003479990057171265
2019-07-22,3830,26,272085.72,0.006788511749347258
2019-07-23,1837,2,127110.36,0.0010887316276537834
2019-07-24,2092,7,136596.77,0.0033460803059273425
2019-07-25,2307,15,172318.35,0.006501950585175552
2019-07-26,2331,11,156752.97,0.004719004719004719
2019-07-27,3300,31,236571.59,0.009393939393939394
2019-07-28,4045,30,287398.3,0.007416563658838072
2019-07-29,3798,17,261483.07,0.004476040021063717
2019-07-30,1936,1,124095.16,0.0005165289256198347
2019-07-31,2110,0,136516.15,0.0
2019-08-01,2301,0,155876.34,0.0
2019-08-02,2413,13,173318.14,0.005387484459179445
2019-08-03,3427,22,238144.76,0.006419608987452583
2019-08-04,3964,12,272020.18,0.0030272452068617556
2019-08-05,3907,15,258726.66,0.003839262861530586
2019-08-06,1820,1,123099.4,0.0005494505494505495
2019-08-07,2090,5,154636.93,0.0023923444976076554
2019-08-08,2290,8,151645.65,0.0034934497816593887
2019-08-09,2312,3,157954.98,0.0012975778546712802
2019-08-10,3344,13,229242.23,0.00388755980861244
2019-08-11,4089,22,278609.63,0.005380288579114698
2019-08-12,3850,24,277760.35,0.006233766233766234
2019-08-13,1908,12,134104.73,0.006289308176100629
2019-08-14,2128,3,137366.81,0.0014097744360902255
2019-08-15,2330,0,159338.67,0.0
2019-08-16,2313,8,162101.45,0.0034587116299178555
2019-08-17,3370,27,241870.31,0.008011869436201781
2019-08-18,3940,21,268880.79,0.00532994923857868
2019-08-19,3772,12,292757.65,0.003181336161187699
2019-08-20,1852,3,125577.21,0.0016198704103671706
2019-08-21,2074,0,133001.92,0.0
2019-08-22,2257,0,152221.74,0.0
2019-08-23,2324,0,148433.33,0.0
2019-08-24,3433,22,223089.57,0.006408389163996504
2019-08-25,3983,29,285961.62,0.007280944012051218
2019-08-26,3799,19,253110.5,0.005001316135825217
2019-08-27,1838,7,123202.98,0.003808487486398259
2019-08-28,2053,6,146903.15,0.0029225523623964927
2019-08-29,2322,10,169274.7,0.004306632213608958
2019-08-30,2485,26,186360.72,0.010462776659959759
2019-08-31,3371,39,232695.55,0.01156926727973895
2019-09-01,4129,24,282561.59,0.00581254541051102
2019-09-02,3191,4,215138.06,0.0012535255405828893
2019-09-03,1501,6,112717.19,0.003997335109926716
2019-09-04,1682,9,121275.76,0.00535077288941736
2019-09-05,1822,7,120035.02,0.0038419319429198683
2019-09-06,1851,5,121323.0,0.002701242571582928
2019-09-07,2640,18,183202.17,0.006818181818181818
2019-09-08,3152,0,215398.64,0.0
2019-09-09,3052,8,219377.0,0.002621231979030144
2019-09-10,1465,30,104642.83,0.020477815699658702
2019-09-11,1593,41,132316.09,0.02573760200878845
2019-09-12,1795,20,124440.81,0.011142061281337047
2019-09-13,1903,21,136907.92,0.011035207566999475
2019-09-14,2721,25,213712.56,0.009187798603454611
2019-09-15,3243,4,204818.82,0.0012334258402713536
2019-09-16,3081,3,219281.67,0.0009737098344693282
2019-09-17,1505,6,100471.35,0.003986710963455149
2019-09-18,1724,2,131500.28,0.001160092807424594
2019-09-19,1877,20,139594.88,0.010655301012253596
2019-09-20,1858,16,135424.2,0.008611410118406888
2019-09-21,2688,12,179889.31,0.004464285714285714
2019-09-22,3238,22,226720.32,0.0067943174799258805
2019-09-23,3155,37,227290.93,0.011727416798732172
2019-09-24,1449,11,103155.76,0.00759144237405107
2019-09-25,1643,9,109295.82,0.005477784540474742
