trans_hour,txns,fraud_txns,avg_amt,fraud_rate
0,60655,823,78.54,0.013568543401203528
1,61330,827,79.387,0.013484428501548996
2,60796,793,79.824,0.0130436212908744
3,60968,803,79.239,0.013170843721296418
4,59938,61,75.957,0.0010177183089192165
5,60088,80,75.911,0.0013313806417254693
6,60406,54,75.881,0.0008939509320266199
7,60301,72,75.983,0.001194010049584584
8,60498,59,76.147,0.0009752388508711032
9,60231,61,75.478,0.0010127675117464429
10,60320,52,75.334,0.0008620689655172414
11,60170,59,76.562,0.0009805550939006149
12,93294,84,62.435,0.0009003794456235128
13,93492,94,63.325,0.001005433619988876
14,93089,100,63.479,0.0010742407803285027
15,93439,100,62.988,0.0010702169329723135
16,94289,97,63.419,0.0010287520283384065
17,93514,94,63.402,0.0010051970827897427
18,94052,111,63.09,0.0011801981882362947
19,93433,105,62.392,0.0011237999422045743
20,93081,98,63.206,0.001052846445568913
21,93738,101,63.014,0.001077471249653289
22,95370,2481,78.439,0.026014469959106636
23,95902,2442,77.189,0.02546349398344143
